"File Name","Shoe Number","Wearer Number","Weight(lbs)","Height(ft)"
"007961L_20180124_2_1_1_csafe_bryson.tiff","7","7","143.0","5.583"
"007961L_20171031_2_2_2_csafe_bpbryson.tiff","7","7","143.0","5.583"
"007961L_20180411_2_1_2_csafe_jekruse.tiff","7","7","143.0","5.583"
"007961L_20171031_2_1_1_csafe_bpbryson.tiff","7","7","143.0","5.583"
"007961L_20180124_2_1_2_csafe_bryson.tiff","7","7","143.0","5.583"
"043758L_20180307_5_2_1_basulto_silerio_jekruse.tif","43","7","145.0","5.667"
"007961L_20180228_2_1_2_csafe_jekruse.tiff","7","7","143.0","5.583"
"043758L_20180109_5_1_1_csafe_kruse-basulto-elias-kruse.tif","43","7","145.0","5.667"
"007961L_20180411_2_2_1_csafe_jekruse.tiff","7","7","143.0","5.583"
"007961L_20180124_2_2_1_csafe_bryson.tiff","7","7","143.0","5.583"
"007961L_20180228_2_2_2_csafe_jekruse.tiff","7","7","143.0","5.583"
"007961L_20180411_2_1_1_csafe_jekruse.tiff","7","7","143.0","5.583"
"043758L_20180109_5_2_1_csafe_kruse-basulto-elias-kruse.tif","43","7","145.0","5.667"
"043758L_20180131_5_1_1_csafe_boekhoff_kruse_zwart.tif","43","7","145.0","5.667"
"007961L_20180228_2_1_1_csafe_jekruse.tiff","7","7","143.0","5.583"
"007961L_20180124_2_2_2_csafe_bryson.tiff","7","7","143.0","5.583"
"007961L_20180411_2_2_2_csafe_jekruse.tiff","7","7","143.0","5.583"
"007961L_20171031_2_1_2_csafe_bpbryson.tiff","7","7","143.0","5.583"
"007961L_20180228_2_2_1_csafe_jekruse.tiff","7","7","143.0","5.583"
"043758L_20180307_5_1_1_basulto_silerio_jekruse.tif","43","7","145.0","5.667"
"007961L_20171031_2_2_1_csafe_bpbryson.tiff","7","7","143.0","5.583"
"043758L_20180411_5_1_1_bryson_kruse_kruse.tif","43","7","145.0","5.667"
"043758L_20180411_5_2_1_bryson_kruse_kruse.tif","43","7","145.0","5.667"
"043758L_20180131_5_2_1_csafe_boekhoff_kruse_zwart.tif","43","7","145.0","5.667"
